timestamp,label,fps,cpu_temp_c,mem_used_mb,persons_detected
2026-07-28 07:11:14,480x320,1.31,50.1,78.3,0
2026-07-28 07:11:19,480x320,1.34,53.2,78.4,1
2026-07-28 07:11:24,480x320,1.35,53.0,78.4,0
2026-07-28 07:11:29,480x320,1.33,53.6,78.4,0
2026-07-28 07:11:34,480x320,1.35,50.7,78.4,1
2026-07-28 07:11:39,480x320,1.36,52.7,78.4,0
2026-07-28 07:11:44,480x320,1.36,55.3,78.4,0
2026-07-28 07:11:49,480x320,1.35,54.4,78.4,1
2026-07-28 07:11:54,480x320,1.37,52.7,78.4,0
2026-07-28 07:11:59,480x320,1.38,50.5,78.4,1
2026-07-28 07:12:04,480x320,1.37,53.4,78.4,1
2026-07-28 07:12:09,480x320,1.37,52.7,78.4,0
2026-07-28 07:12:14,480x320,1.38,53.6,78.4,0
2026-07-28 07:12:19,480x320,1.37,53.3,78.4,0
2026-07-28 07:12:24,480x320,1.38,53.4,78.4,2
2026-07-28 07:12:29,480x320,1.37,52.7,78.4,0
2026-07-28 07:12:34,480x320,1.34,50.5,78.4,0
2026-07-28 07:12:39,480x320,1.37,54.4,78.4,0
2026-07-28 07:12:44,480x320,1.37,55.4,78.4,1
2026-07-28 07:12:49,480x320,1.37,51.4,78.4,2
2026-07-28 07:12:54,480x320,1.38,51.1,78.4,1
2026-07-28 07:12:59,480x320,1.39,52.1,78.6,2
2026-07-28 07:13:04,480x320,1.38,53.3,78.6,1
2026-07-28 07:13:09,480x320,1.37,54.1,78.6,1
2026-07-28 07:13:14,480x320,1.37,52.2,78.6,1
2026-07-28 07:13:19,480x320,1.36,50.2,78.6,1
2026-07-28 07:13:24,480x320,1.37,54.1,78.6,1
2026-07-28 07:13:29,480x320,1.36,51.6,78.6,1
2026-07-28 07:13:34,480x320,1.36,51.7,78.6,0
2026-07-28 07:13:39,480x320,1.36,51.7,78.6,1
2026-07-28 07:13:44,480x320,1.37,51.1,78.6,1
2026-07-28 07:13:49,480x320,1.37,53.8,78.6,1
2026-07-28 07:13:54,480x320,1.37,52.8,78.6,1
2026-07-28 07:13:59,480x320,1.36,50.9,78.6,0
2026-07-28 07:14:04,480x320,1.36,52.3,78.6,1
2026-07-28 07:14:09,480x320,1.36,50.9,78.6,1
2026-07-28 07:14:14,480x320,1.38,53.4,78.6,1
2026-07-28 07:14:19,480x320,1.38,53.3,78.6,1
2026-07-28 07:14:24,480x320,1.36,53.9,78.6,1
2026-07-28 07:14:29,480x320,1.38,52.2,78.6,0
2026-07-28 07:14:34,480x320,1.37,53.9,78.6,1
2026-07-28 07:14:39,480x320,1.36,54.8,78.6,0
2026-07-28 07:14:44,480x320,1.38,55.5,78.6,1
2026-07-28 07:14:49,480x320,1.36,52.4,78.6,0
2026-07-28 07:14:54,480x320,1.35,50.3,78.6,1
2026-07-28 07:14:59,480x320,1.36,50.8,78.6,1
2026-07-28 07:15:04,480x320,1.36,52.4,78.6,1
2026-07-28 07:15:09,480x320,1.36,54.4,78.6,1
2026-07-28 07:15:14,480x320,1.35,53.0,78.6,1
2026-07-28 07:15:19,480x320,1.36,55.1,78.6,1
2026-07-28 07:15:24,480x320,1.36,52.6,78.6,0
2026-07-28 07:15:29,480x320,1.34,51.3,78.6,1
2026-07-28 07:15:34,480x320,1.35,54.4,78.6,1
2026-07-28 07:15:39,480x320,1.34,49.6,78.6,0
2026-07-28 07:15:44,480x320,1.3,52.7,78.6,0
2026-07-28 07:15:49,480x320,1.28,52.0,78.6,1
2026-07-28 07:15:54,480x320,1.17,49.4,78.6,1
2026-07-28 07:15:59,480x320,1.24,48.3,78.6,1
2026-07-28 07:16:04,480x320,1.25,55.3,78.6,0
2026-07-28 07:16:09,480x320,1.24,54.0,78.6,0
