timestamp,label,fps,cpu_temp_c,mem_used_mb,persons_detected
2026-07-28 07:36:31,640x480,1.61,47.9,87.9,1
2026-07-28 07:36:36,640x480,1.58,49.9,87.9,1
2026-07-28 07:36:41,640x480,1.61,47.6,87.9,0
2026-07-28 07:36:46,640x480,1.61,51.4,87.9,1
2026-07-28 07:36:51,640x480,1.59,49.6,87.9,1
2026-07-28 07:36:56,640x480,1.59,51.5,87.9,1
2026-07-28 07:37:01,640x480,1.59,47.3,87.9,0
2026-07-28 07:37:06,640x480,1.62,49.1,87.9,0
2026-07-28 07:37:11,640x480,1.61,50.4,87.9,0
2026-07-28 07:37:16,640x480,1.62,50.7,87.9,0
2026-07-28 07:37:21,640x480,1.63,50.9,87.9,0
2026-07-28 07:37:26,640x480,1.62,50.1,87.9,0
2026-07-28 07:37:31,640x480,1.64,53.0,87.9,1
2026-07-28 07:37:36,640x480,1.63,49.6,87.9,1
2026-07-28 07:37:41,640x480,1.62,52.0,87.9,1
2026-07-28 07:37:46,640x480,1.62,49.2,87.9,3
2026-07-28 07:37:51,640x480,1.6,49.9,87.9,1
2026-07-28 07:37:56,640x480,1.57,48.2,87.9,0
2026-07-28 07:38:01,640x480,1.57,50.3,87.9,0
2026-07-28 07:38:06,640x480,1.61,50.8,87.9,0
2026-07-28 07:38:11,640x480,1.6,48.9,87.9,0
2026-07-28 07:38:16,640x480,1.6,50.3,87.9,0
2026-07-28 07:38:21,640x480,1.57,52.4,87.9,0
2026-07-28 07:38:26,640x480,1.6,52.0,87.9,0
2026-07-28 07:38:31,640x480,1.61,51.7,87.9,0
2026-07-28 07:38:36,640x480,1.63,52.6,87.9,0
2026-07-28 07:38:41,640x480,1.62,53.2,87.9,0
2026-07-28 07:38:46,640x480,1.62,53.2,87.9,0
2026-07-28 07:38:51,640x480,1.63,52.2,87.9,0
2026-07-28 07:38:56,640x480,1.63,50.9,87.9,0
2026-07-28 07:39:01,640x480,1.61,54.0,87.9,0
2026-07-28 07:39:06,640x480,1.61,50.4,87.9,0
2026-07-28 07:39:11,640x480,1.62,50.2,87.9,0
2026-07-28 07:39:16,640x480,1.63,52.7,87.9,0
2026-07-28 07:39:21,640x480,1.61,54.2,87.9,0
2026-07-28 07:39:26,640x480,1.59,50.8,87.9,0
2026-07-28 07:39:31,640x480,1.62,51.0,87.9,0
2026-07-28 07:39:36,640x480,1.62,50.8,87.9,0
2026-07-28 07:39:41,640x480,1.6,51.4,87.9,0
2026-07-28 07:39:46,640x480,1.6,54.2,87.9,0
2026-07-28 07:39:51,640x480,1.61,53.2,87.9,0
2026-07-28 07:39:56,640x480,1.61,51.7,87.9,0
2026-07-28 07:40:01,640x480,1.62,51.4,87.9,0
2026-07-28 07:40:06,640x480,1.64,51.6,87.9,0
2026-07-28 07:40:11,640x480,1.63,52.1,87.9,0
2026-07-28 07:40:16,640x480,1.62,52.4,87.9,0
2026-07-28 07:40:21,640x480,1.63,51.0,87.9,0
2026-07-28 07:40:26,640x480,1.62,53.5,87.9,0
2026-07-28 07:40:31,640x480,1.62,53.5,87.9,0
2026-07-28 07:40:36,640x480,1.62,52.9,87.9,0
2026-07-28 07:40:41,640x480,1.62,52.7,87.9,0
2026-07-28 07:40:46,640x480,1.63,50.3,87.9,0
2026-07-28 07:40:51,640x480,1.63,49.2,87.9,0
2026-07-28 07:40:56,640x480,1.57,52.6,87.9,0
2026-07-28 07:41:01,640x480,1.59,52.6,87.9,0
2026-07-28 07:41:06,640x480,1.62,54.0,87.9,0
2026-07-28 07:41:11,640x480,1.62,51.6,87.9,0
2026-07-28 07:41:16,640x480,1.62,51.5,87.9,0
2026-07-28 07:41:21,640x480,1.63,50.7,87.9,0
2026-07-28 07:41:26,640x480,1.61,49.4,87.9,0
