timestamp,label,fps,cpu_temp_c,mem_used_mb,persons_detected
2026-07-28 07:26:05,1280x720,0.03,53.2,123.9,5
2026-07-28 07:26:10,1280x720,0.03,52.3,124.0,5
2026-07-28 07:26:15,1280x720,0.03,56.1,124.0,5
2026-07-28 07:26:20,1280x720,0.03,55.3,124.0,5
2026-07-28 07:26:25,1280x720,0.04,54.8,127.0,4
2026-07-28 07:26:30,1280x720,0.04,55.4,127.1,4
2026-07-28 07:26:35,1280x720,0.05,55.4,127.1,6
2026-07-28 07:26:40,1280x720,0.05,53.8,127.1,6
2026-07-28 07:26:45,1280x720,0.05,55.2,124.9,5
2026-07-28 07:26:50,1280x720,0.05,56.3,124.9,5
2026-07-28 07:26:55,1280x720,0.06,52.2,125.7,5
2026-07-28 07:27:00,1280x720,0.06,55.2,125.7,5
2026-07-28 07:27:05,1280x720,0.06,55.5,127.0,7
2026-07-28 07:27:10,1280x720,0.06,57.3,127.0,7
2026-07-28 07:27:15,1280x720,0.06,53.2,127.0,8
2026-07-28 07:27:20,1280x720,0.06,55.1,127.0,8
2026-07-28 07:27:25,1280x720,0.07,55.1,124.9,7
2026-07-28 07:27:30,1280x720,0.07,55.7,124.9,7
2026-07-28 07:27:35,1280x720,0.07,56.9,125.7,8
2026-07-28 07:27:40,1280x720,0.07,55.1,125.7,8
2026-07-28 07:27:45,1280x720,0.07,53.6,125.7,5
2026-07-28 07:27:50,1280x720,0.07,56.7,125.7,5
2026-07-28 07:27:55,1280x720,0.08,56.9,125.7,8
2026-07-28 07:28:00,1280x720,0.08,53.0,125.7,8
2026-07-28 07:28:05,1280x720,0.08,56.3,127.0,8
2026-07-28 07:28:10,1280x720,0.08,55.0,127.0,8
2026-07-28 07:28:15,1280x720,0.08,56.9,127.0,7
2026-07-28 07:28:20,1280x720,0.08,55.5,127.0,7
2026-07-28 07:28:25,1280x720,0.08,53.9,124.9,5
2026-07-28 07:28:30,1280x720,0.08,57.1,124.9,5
2026-07-28 07:28:35,1280x720,0.08,55.9,125.7,5
2026-07-28 07:28:40,1280x720,0.08,54.7,125.7,5
2026-07-28 07:28:45,1280x720,0.09,54.2,125.7,6
2026-07-28 07:28:50,1280x720,0.09,56.1,125.7,6
2026-07-28 07:28:55,1280x720,0.09,56.7,127.2,4
2026-07-28 07:29:00,1280x720,0.09,53.6,127.2,4
2026-07-28 07:29:05,1280x720,0.09,57.2,127.5,5
2026-07-28 07:29:10,1280x720,0.09,57.6,127.5,5
2026-07-28 07:29:15,1280x720,0.09,53.9,127.5,6
2026-07-28 07:29:20,1280x720,0.09,55.2,127.5,6
2026-07-28 07:29:25,1280x720,0.09,55.7,127.5,5
2026-07-28 07:29:30,1280x720,0.09,54.6,127.5,5
2026-07-28 07:29:35,1280x720,0.09,53.8,127.5,4
2026-07-28 07:29:40,1280x720,0.09,57.8,127.5,4
2026-07-28 07:29:45,1280x720,0.09,57.0,127.5,7
2026-07-28 07:29:50,1280x720,0.09,55.9,127.5,7
2026-07-28 07:29:55,1280x720,0.09,57.5,127.5,6
2026-07-28 07:30:00,1280x720,0.09,56.0,127.5,6
2026-07-28 07:30:05,1280x720,0.09,53.8,127.5,7
2026-07-28 07:30:10,1280x720,0.09,56.4,127.5,7
2026-07-28 07:30:15,1280x720,0.09,55.4,127.5,4
2026-07-28 07:30:20,1280x720,0.09,54.5,127.5,4
2026-07-28 07:30:25,1280x720,0.09,42.6,110.9,8
2026-07-28 07:30:30,1280x720,0.1,51.6,116.0,2
2026-07-28 07:30:35,1280x720,0.1,44.6,220.5,2
2026-07-28 07:30:40,1280x720,0.1,39.3,220.4,2
2026-07-28 07:30:45,1280x720,0.1,37.2,220.3,2
2026-07-28 07:30:50,1280x720,0.1,38.3,220.4,2
2026-07-28 07:30:55,1280x720,0.1,37.2,220.5,2
2026-07-28 07:31:00,1280x720,0.1,37.6,220.4,2
