elapsed_s,cpu_temp_c,cpu_percent,mem_free_mb,mem_total_mb,ok
0.75,37.4,0.0,215.2,477.6,True
5.67,35.3,3.9,215.5,477.6,True
10.56,38.2,77.3,215.5,477.6,True
15.56,41.7,42.7,215.6,477.6,True
20.89,35.5,36.3,215.4,477.6,True
25.71,38.6,47.7,215.5,477.6,True
30.46,38.8,34.7,215.4,477.6,True
35.81,37.2,27.7,215.3,477.6,True
40.5,33.3,35.0,215.4,477.6,True
46.03,36.0,75.1,215.1,477.6,True
50.76,40.9,35.1,215.0,477.6,True
56.41,36.5,38.6,215.1,477.6,True
60.62,40.5,35.7,215.2,477.6,True
65.55,40.8,60.1,215.2,477.6,True
70.79,33.3,37.3,215.4,477.6,True
76.78,39.8,41.4,215.4,477.6,True
81.18,41.7,62.2,215.2,477.6,True
85.61,37.4,43.8,215.4,477.6,True
90.82,35.2,13.0,215.0,477.6,True
95.44,39.5,17.8,215.2,477.6,True
102.02,43.9,50.6,215.3,477.6,True
105.43,38.9,1.3,215.2,477.6,True
113.11,36.3,0.7,215.2,477.6,True
117.11,41.3,63.0,215.4,477.6,True
120.83,42.8,41.7,215.4,477.6,True
125.65,36.1,0.0,214.9,477.6,True
130.78,39.7,31.4,215.0,477.6,True
135.88,38.4,2.2,215.3,477.6,True
140.75,37.7,1.4,215.0,477.6,True
146.4,36.7,1.7,215.2,477.6,True
150.27,36.6,38.2,215.2,477.6,True
155.66,40.9,0.8,215.2,477.6,True
160.76,35.4,37.8,215.8,477.6,True
165.85,36.8,1.0,215.5,477.6,True
170.26,38.3,1.8,215.7,477.6,True
175.93,36.4,0.7,215.4,477.6,True
181.17,41.3,36.3,215.3,477.6,True
186.17,37.0,2.2,215.2,477.6,True
190.56,36.6,49.9,215.2,477.6,True
195.87,40.3,1.2,215.2,477.6,True
200.91,38.2,40.2,215.2,477.6,True
205.54,39.6,47.2,214.8,477.6,True
210.6,33.9,33.6,215.1,477.6,True
216.33,33.9,0.0,214.7,477.6,True
220.63,39.6,0.0,215.1,477.6,True
225.56,40.7,46.7,215.0,477.6,True
230.34,39.1,56.6,215.5,477.6,True
235.37,39.0,100.0,215.5,477.6,True
240.06,45.1,94.0,215.1,477.6,True
245.07,43.9,96.6,215.2,477.6,True
250.12,45.2,95.0,215.1,477.6,True
256.69,36.0,0.0,215.1,477.6,True
262.85,36.7,30.3,214.7,477.6,True
266.01,33.2,0.0,215.1,477.6,True
270.64,42.8,4.2,215.2,477.6,True
275.72,43.8,34.8,214.6,477.6,True
280.96,36.8,0.0,214.4,477.6,True
286.3,37.1,18.4,214.2,477.6,True
290.44,37.1,51.2,214.1,477.6,True
296.93,41.5,0.9,214.2,477.6,True
300.06,42.6,75.9,214.5,477.6,True
