request_index,latency_ms,status
0,1313.4,ok
1,1338.64,ok
2,1303.25,ok
3,1352.83,ok
4,1340.08,ok
5,1336.93,ok
6,1352.01,ok
7,1311.42,ok
8,1024.54,ok
9,1065.88,ok
10,900.64,ok
11,886.43,ok
12,1022.87,ok
13,1334.27,ok
14,1348.47,ok
15,1027.98,ok
16,883.59,ok
17,1328.47,ok
18,1309.04,ok
19,1305.95,ok
20,1307.72,ok
21,1332.21,ok
22,1016.77,ok
23,1340.7,ok
24,1018.13,ok
25,1058.44,ok
26,1303.39,ok
27,877.19,ok
28,1338.48,ok
29,1047.25,ok
30,1338.67,ok
31,1328.23,ok
32,1849.36,ok
33,1284.33,ok
34,1052.67,ok
35,1069.0,ok
36,1299.11,ok
37,1321.79,ok
38,1318.64,ok
39,1336.84,ok
40,843.03,ok
41,1295.68,ok
42,1008.11,ok
43,1008.66,ok
44,1316.11,ok
45,1319.95,ok
46,1282.11,ok
47,1003.26,ok
48,1316.79,ok
49,1317.02,ok
