elapsed_s,up,latency_ms
0.15,True,150.9
1.06,True,62.8
2.08,True,80.5
3.06,True,60.1
4.15,True,153.5
5.45,True,446.8
6.06,True,61.7
7.32,True,320.0
8.05,True,49.5
9.04,True,42.7
10.08,True,81.6
11.07,True,69.3
12.07,True,72.5
13.09,True,84.0
14.05,True,50.1
15.05,True,52.3
16.11,True,109.1
17.06,True,55.8
18.07,True,71.7
19.13,True,125.1
20.05,True,51.1
21.07,True,69.8
22.05,True,51.6
23.05,True,49.3
24.07,True,71.8
25.05,True,43.4
26.05,True,47.8
27.05,True,50.3
28.08,True,76.2
29.13,True,121.6
30.1,True,97.3
31.58,True,575.3
32.11,True,104.6
33.22,True,219.6
34.1,True,97.5
35.14,True,137.1
37.11,True,1104.9
37.15,True,42.3
38.28,True,165.8
39.27,True,161.4
40.23,True,123.9
41.19,True,81.3
42.81,True,701.6
43.74,True,634.2
45.05,True,940.5
46.2,True,1089.1
47.06,True,863.0
47.3,True,104.5
48.31,True,106.1
49.5,True,299.2
50.54,True,336.7
51.28,True,81.2
52.29,True,89.0
53.37,True,167.0
54.29,True,90.4
55.85,True,653.2
56.35,True,146.2
57.25,True,50.5
58.5,True,298.9
59.42,True,224.3
60.33,True,126.7
61.33,True,134.0
62.32,True,118.6
63.3,True,94.3
64.33,True,131.9
65.26,True,62.8
66.28,True,82.9
67.3,True,101.3
68.29,True,90.0
69.25,True,52.8
70.27,True,72.6
71.26,True,56.4
72.27,True,71.1
73.31,True,103.3
74.25,True,44.8
75.25,True,43.0
76.26,True,60.5
77.25,True,43.4
78.25,True,43.3
79.3,True,93.5
80.27,True,62.8
81.44,True,235.8
82.69,True,487.3
84.1,True,898.6
85.12,True,917.5
85.63,True,423.4
87.06,True,860.5
87.95,True,748.8
88.79,True,582.9
89.29,True,90.9
90.63,True,426.0
91.53,True,323.0
92.28,True,75.5
93.25,True,49.3
94.57,True,366.0
95.28,True,75.7
96.39,True,188.4
97.89,True,682.7
98.58,True,377.4
99.82,True,615.6
100.28,True,77.7
101.28,True,76.3
102.35,True,149.9
103.58,True,375.2
104.3,True,95.2
105.28,True,70.4
106.27,True,67.5
107.27,True,68.8
108.28,True,71.8
109.28,True,70.8
110.36,True,150.0
111.35,True,140.5
112.3,True,93.4
113.31,True,101.8
114.76,True,554.1
115.31,True,101.0
116.3,True,91.5
117.73,True,520.4
118.3,True,90.5
119.27,True,66.8
120.27,True,59.4
121.3,True,94.0
122.46,True,250.3
123.34,True,135.6
124.84,True,633.2
125.26,True,48.1
126.8,True,593.9
127.3,True,94.8
128.27,True,62.4
129.45,True,247.4
130.3,True,89.6
131.26,True,56.2
132.31,True,105.6
133.31,True,100.1
134.3,True,94.8
135.28,True,67.6
136.29,True,82.9
137.25,True,42.0
138.27,True,61.6
139.27,True,62.0
140.25,True,44.0
141.25,True,42.9
142.26,True,48.8
143.29,True,77.1
144.54,True,335.7
145.28,True,72.9
146.26,True,50.5
147.26,True,49.0
148.26,True,47.0
149.27,True,57.7
150.26,True,46.0
151.25,True,41.0
152.26,True,54.0
153.26,True,54.1
154.26,True,52.8
155.27,True,63.0
156.26,True,46.0
157.26,True,51.8
158.29,True,80.1
159.28,True,73.9
160.29,True,78.2
161.26,True,48.8
162.27,True,61.3
163.26,True,47.8
164.29,True,74.3
165.26,True,50.2
166.27,True,57.4
167.25,True,39.5
168.26,True,45.4
169.29,True,76.8
170.27,True,59.5
171.27,True,53.7
172.56,True,345.9
173.26,True,43.4
174.32,True,103.2
175.38,True,167.5
176.26,True,44.3
177.26,True,46.9
178.31,True,92.7
179.33,True,121.0
180.27,True,55.0
181.26,True,44.3
182.27,True,54.0
183.27,True,59.5
184.27,True,57.8
185.26,True,42.9
186.26,True,50.0
187.28,True,65.4
188.26,True,41.2
189.27,True,53.6
190.26,True,41.1
191.27,True,57.9
192.28,True,70.4
193.27,True,56.3
194.29,True,78.7
195.33,True,115.6
196.27,True,59.8
197.26,True,44.8
198.28,True,63.8
199.27,True,50.0
200.26,True,43.0
201.27,True,58.5
203.31,True,1095.7
203.38,True,68.8
204.37,True,55.1
205.36,True,48.2
206.36,True,46.5
207.36,True,46.3
208.36,True,47.6
209.36,True,50.9
210.36,True,44.5
211.36,True,48.6
212.36,True,51.8
213.36,True,49.0
214.37,True,55.4
215.36,True,43.8
216.36,True,46.3
217.37,True,58.0
218.64,True,323.1
219.41,True,98.6
220.36,True,49.7
223.32,False,2002.0
225.32,False,2002.0
226.38,False,1060.0
228.38,False,2002.6
229.45,False,1069.5
231.45,False,2001.7
232.52,False,1071.1
234.52,False,2001.7
235.59,False,1069.0
237.6,False,2002.1
239.6,False,2002.8
239.6,False,0.6
240.6,False,0.8
241.6,False,0.5
242.6,False,1.7
243.6,False,2.1
244.61,False,6.4
245.6,False,1.4
246.6,False,1.8
247.6,False,1.5
248.6,False,1.4
249.6,False,1.6
250.6,False,1.6
251.6,False,1.7
252.6,False,2.0
253.6,False,1.3
254.6,False,1.4
255.6,False,1.5
256.6,False,1.6
257.6,False,1.8
258.6,False,1.6
259.6,False,1.5
260.6,False,2.1
261.61,False,5.1
262.6,False,1.8
263.61,False,4.0
264.61,False,7.6
265.6,False,1.5
266.6,False,1.3
267.6,False,1.3
268.6,False,1.8
269.6,False,1.3
270.6,False,1.4
271.6,False,1.4
272.6,False,1.6
273.6,False,1.4
274.6,False,2.1
275.61,False,5.1
276.6,False,1.5
277.6,False,1.4
278.61,False,2.8
279.6,False,1.5
280.6,False,1.6
281.6,False,1.6
282.6,False,1.4
283.6,False,1.4
284.61,False,2.4
285.6,False,1.5
286.61,False,2.2
287.61,False,4.7
288.61,False,2.0
289.61,False,2.0
290.61,False,1.4
