elapsed_s,event,topic,payload
0.0,connected,,rc=0
0.0,message,home/status/402101906,online
0.36,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:56:47"", ""student_id"": ""402101906""}"
0.37,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.5, ""timestamp"": ""2026-08-04T06:56:47Z"", ""student_id"": ""402101906""}"
2.37,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:56:49"", ""student_id"": ""402101906""}"
2.37,message,home/telemetry/402101906,"{""cpu_temp_c"": 43.8, ""timestamp"": ""2026-08-04T06:56:49Z"", ""student_id"": ""402101906""}"
4.36,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:56:51"", ""student_id"": ""402101906""}"
4.37,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.4, ""timestamp"": ""2026-08-04T06:56:51Z"", ""student_id"": ""402101906""}"
6.39,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:56:53"", ""student_id"": ""402101906""}"
6.39,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.1, ""timestamp"": ""2026-08-04T06:56:53Z"", ""student_id"": ""402101906""}"
8.64,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:56:55"", ""student_id"": ""402101906""}"
8.64,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.4, ""timestamp"": ""2026-08-04T06:56:55Z"", ""student_id"": ""402101906""}"
10.37,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:56:57"", ""student_id"": ""402101906""}"
10.37,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.8, ""timestamp"": ""2026-08-04T06:56:57Z"", ""student_id"": ""402101906""}"
12.37,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:56:59"", ""student_id"": ""402101906""}"
12.37,message,home/telemetry/402101906,"{""cpu_temp_c"": 44.6, ""timestamp"": ""2026-08-04T06:56:59Z"", ""student_id"": ""402101906""}"
14.37,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:01"", ""student_id"": ""402101906""}"
14.37,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.3, ""timestamp"": ""2026-08-04T06:57:01Z"", ""student_id"": ""402101906""}"
16.37,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:03"", ""student_id"": ""402101906""}"
16.38,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.4, ""timestamp"": ""2026-08-04T06:57:03Z"", ""student_id"": ""402101906""}"
18.39,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:05"", ""student_id"": ""402101906""}"
18.4,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.6, ""timestamp"": ""2026-08-04T06:57:05Z"", ""student_id"": ""402101906""}"
20.37,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:07"", ""student_id"": ""402101906""}"
20.37,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.1, ""timestamp"": ""2026-08-04T06:57:07Z"", ""student_id"": ""402101906""}"
22.69,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:09"", ""student_id"": ""402101906""}"
22.69,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.4, ""timestamp"": ""2026-08-04T06:57:09Z"", ""student_id"": ""402101906""}"
24.37,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:11"", ""student_id"": ""402101906""}"
24.38,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.9, ""timestamp"": ""2026-08-04T06:57:11Z"", ""student_id"": ""402101906""}"
26.37,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:13"", ""student_id"": ""402101906""}"
26.38,message,home/telemetry/402101906,"{""cpu_temp_c"": 44.9, ""timestamp"": ""2026-08-04T06:57:13Z"", ""student_id"": ""402101906""}"
28.37,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:15"", ""student_id"": ""402101906""}"
28.38,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.9, ""timestamp"": ""2026-08-04T06:57:15Z"", ""student_id"": ""402101906""}"
30.37,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:17"", ""student_id"": ""402101906""}"
30.41,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.4, ""timestamp"": ""2026-08-04T06:57:17Z"", ""student_id"": ""402101906""}"
32.38,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:19"", ""student_id"": ""402101906""}"
32.56,message,home/telemetry/402101906,"{""cpu_temp_c"": 42.2, ""timestamp"": ""2026-08-04T06:57:19Z"", ""student_id"": ""402101906""}"
34.38,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:21"", ""student_id"": ""402101906""}"
34.38,message,home/telemetry/402101906,"{""cpu_temp_c"": 48.2, ""timestamp"": ""2026-08-04T06:57:21Z"", ""student_id"": ""402101906""}"
36.38,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:23"", ""student_id"": ""402101906""}"
36.38,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.9, ""timestamp"": ""2026-08-04T06:57:23Z"", ""student_id"": ""402101906""}"
38.38,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:25"", ""student_id"": ""402101906""}"
38.38,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.4, ""timestamp"": ""2026-08-04T06:57:25Z"", ""student_id"": ""402101906""}"
40.38,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:27"", ""student_id"": ""402101906""}"
40.38,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.4, ""timestamp"": ""2026-08-04T06:57:27Z"", ""student_id"": ""402101906""}"
42.38,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:29"", ""student_id"": ""402101906""}"
42.39,message,home/telemetry/402101906,"{""cpu_temp_c"": 44.1, ""timestamp"": ""2026-08-04T06:57:29Z"", ""student_id"": ""402101906""}"
44.38,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:31"", ""student_id"": ""402101906""}"
44.38,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.2, ""timestamp"": ""2026-08-04T06:57:31Z"", ""student_id"": ""402101906""}"
46.45,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:33"", ""student_id"": ""402101906""}"
46.46,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.4, ""timestamp"": ""2026-08-04T06:57:33Z"", ""student_id"": ""402101906""}"
48.38,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:35"", ""student_id"": ""402101906""}"
48.38,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.1, ""timestamp"": ""2026-08-04T06:57:35Z"", ""student_id"": ""402101906""}"
50.38,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:37"", ""student_id"": ""402101906""}"
50.38,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.8, ""timestamp"": ""2026-08-04T06:57:37Z"", ""student_id"": ""402101906""}"
52.38,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:39"", ""student_id"": ""402101906""}"
52.39,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.7, ""timestamp"": ""2026-08-04T06:57:39Z"", ""student_id"": ""402101906""}"
54.38,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:41"", ""student_id"": ""402101906""}"
54.39,message,home/telemetry/402101906,"{""cpu_temp_c"": 44.9, ""timestamp"": ""2026-08-04T06:57:41Z"", ""student_id"": ""402101906""}"
56.39,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:43"", ""student_id"": ""402101906""}"
56.39,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.2, ""timestamp"": ""2026-08-04T06:57:43Z"", ""student_id"": ""402101906""}"
58.43,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:45"", ""student_id"": ""402101906""}"
58.44,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.2, ""timestamp"": ""2026-08-04T06:57:45Z"", ""student_id"": ""402101906""}"
60.48,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:47"", ""student_id"": ""402101906""}"
60.48,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.4, ""timestamp"": ""2026-08-04T06:57:47Z"", ""student_id"": ""402101906""}"
62.44,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:49"", ""student_id"": ""402101906""}"
62.44,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.3, ""timestamp"": ""2026-08-04T06:57:49Z"", ""student_id"": ""402101906""}"
64.47,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T06:57:51"", ""student_id"": ""402101906""}"
64.48,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.9, ""timestamp"": ""2026-08-04T06:57:51Z"", ""student_id"": ""402101906""}"
65.88,message,home/status/402101906,offline
65.88,disconnected,,rc=7
250.89,connected,,rc=0
250.89,message,home/status/402101906,offline
251.68,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:00:59"", ""student_id"": ""402101906""}"
251.69,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.3, ""timestamp"": ""2026-08-04T07:00:59Z"", ""student_id"": ""402101906""}"
253.68,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:01:00"", ""student_id"": ""402101906""}"
253.68,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.2, ""timestamp"": ""2026-08-04T07:01:01Z"", ""student_id"": ""402101906""}"
255.68,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:01:02"", ""student_id"": ""402101906""}"
255.69,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.5, ""timestamp"": ""2026-08-04T07:01:03Z"", ""student_id"": ""402101906""}"
257.68,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:01:04"", ""student_id"": ""402101906""}"
257.69,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.9, ""timestamp"": ""2026-08-04T07:01:05Z"", ""student_id"": ""402101906""}"
259.68,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:01:06"", ""student_id"": ""402101906""}"
259.69,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.5, ""timestamp"": ""2026-08-04T07:01:07Z"", ""student_id"": ""402101906""}"
261.7,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:01:08"", ""student_id"": ""402101906""}"
261.71,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.8, ""timestamp"": ""2026-08-04T07:01:09Z"", ""student_id"": ""402101906""}"
266.9,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:01:13"", ""student_id"": ""402101906""}"
266.9,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.4, ""timestamp"": ""2026-08-04T07:01:14Z"", ""student_id"": ""402101906""}"
268.9,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:01:16"", ""student_id"": ""402101906""}"
268.9,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.7, ""timestamp"": ""2026-08-04T07:01:16Z"", ""student_id"": ""402101906""}"
270.91,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:01:17"", ""student_id"": ""402101906""}"
270.92,message,home/telemetry/402101906,"{""cpu_temp_c"": 45.5, ""timestamp"": ""2026-08-04T07:01:18Z"", ""student_id"": ""402101906""}"
272.9,message,home/persons/402101906,"{""count"": 1, ""timestamp"": ""2026-08-04T07:01:20"", ""student_id"": ""402101906""}"
272.91,message,home/telemetry/402101906,"{""cpu_temp_c"": 48.5, ""timestamp"": ""2026-08-04T07:01:20Z"", ""student_id"": ""402101906""}"
274.9,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:01:21"", ""student_id"": ""402101906""}"
274.91,message,home/telemetry/402101906,"{""cpu_temp_c"": 46.4, ""timestamp"": ""2026-08-04T07:01:22Z"", ""student_id"": ""402101906""}"
276.9,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:01:24"", ""student_id"": ""402101906""}"
276.91,message,home/telemetry/402101906,"{""cpu_temp_c"": 50.2, ""timestamp"": ""2026-08-04T07:01:24Z"", ""student_id"": ""402101906""}"
278.91,message,home/persons/402101906,"{""count"": 0, ""timestamp"": ""2026-08-04T07:01:25"", ""student_id"": ""402101906""}"
278.91,message,home/telemetry/402101906,"{""cpu_temp_c"": 47.3, ""timestamp"": ""2026-08-04T07:01:26Z"", ""student_id"": ""402101906""}"
