elapsed_s,timestamp,event
0.0,2026-08-06T11:20:26,
1.08,2026-08-06T11:20:26,
2.14,2026-08-06T11:20:26,
3.21,2026-08-06T11:20:26,
4.27,2026-08-06T11:20:26,
5.35,2026-08-06T11:20:26,
6.43,2026-08-06T11:20:26,
7.49,2026-08-06T11:20:26,
8.54,2026-08-06T11:20:26,
9.63,2026-08-06T11:20:26,
10.68,2026-08-06T11:20:26,
11.74,2026-08-06T11:20:26,
12.8,2026-08-06T11:20:26,
13.85,2026-08-06T11:20:26,
14.91,2026-08-06T11:20:26,
15.97,2026-08-06T11:20:26,
17.03,2026-08-06T11:20:26,
18.09,2026-08-06T11:20:26,
19.15,2026-08-06T11:20:26,
20.21,2026-08-06T11:20:26,
21.27,2026-08-06T11:20:26,
22.37,2026-08-06T11:20:26,
23.43,2026-08-06T11:20:26,
24.5,2026-08-06T11:20:26,
25.57,2026-08-06T11:20:26,
26.62,2026-08-06T11:20:26,
27.68,2026-08-06T11:20:26,
28.73,2026-08-06T11:20:26,
29.78,2026-08-06T11:20:26,
30.84,2026-08-06T11:20:26,
31.93,2026-08-06T11:20:26,
33.0,2026-08-06T11:20:26,
34.05,2026-08-06T11:20:26,
35.11,2026-08-06T11:20:26,
36.17,2026-08-06T11:20:26,
37.24,2026-08-06T11:20:26,
38.29,2026-08-06T11:20:26,
39.36,2026-08-06T11:20:26,
40.41,2026-08-06T11:20:26,
41.46,2026-08-06T11:20:26,
42.52,2026-08-06T11:20:26,
43.57,2026-08-06T11:20:26,
44.65,2026-08-06T11:20:26,
45.71,2026-08-06T11:20:26,
46.76,2026-08-06T11:20:26,
47.82,2026-08-06T11:20:26,
48.87,2026-08-06T11:20:26,
50.2,2026-08-06T11:20:26,
51.24,2026-08-06T11:20:26,
52.29,2026-08-06T11:20:26,
53.35,2026-08-06T11:20:26,
54.4,2026-08-06T11:20:26,
55.48,2026-08-06T11:21:56,RECOVERED - fresh frame after being stale
56.53,2026-08-06T11:21:58,
57.58,2026-08-06T11:21:59,
58.63,2026-08-06T11:22:00,
59.68,2026-08-06T11:22:01,
60.74,2026-08-06T11:22:01,
61.78,2026-08-06T11:22:03,RECOVERED - fresh frame after being stale
62.84,2026-08-06T11:22:03,
63.9,2026-08-06T11:22:03,
64.95,2026-08-06T11:22:03,
66.0,2026-08-06T11:22:03,
67.06,2026-08-06T11:22:08,RECOVERED - fresh frame after being stale
68.11,2026-08-06T11:22:09,
69.17,2026-08-06T11:22:10,
70.23,2026-08-06T11:22:11,
71.28,2026-08-06T11:22:12,
72.34,2026-08-06T11:22:14,
73.38,2026-08-06T11:22:14,
74.44,2026-08-06T11:22:15,RECOVERED - fresh frame after being stale
75.49,2026-08-06T11:22:16,
76.54,2026-08-06T11:22:18,
77.59,2026-08-06T11:22:19,
78.64,2026-08-06T11:22:20,
79.72,2026-08-06T11:22:21,
80.77,2026-08-06T11:22:22,
81.83,2026-08-06T11:22:23,
82.9,2026-08-06T11:22:24,
83.96,2026-08-06T11:22:25,
85.01,2026-08-06T11:22:26,
86.08,2026-08-06T11:22:27,
87.14,2026-08-06T11:22:28,
88.19,2026-08-06T11:22:29,
89.25,2026-08-06T11:22:30,
90.31,2026-08-06T11:22:31,
91.37,2026-08-06T11:22:32,
92.43,2026-08-06T11:22:34,
93.48,2026-08-06T11:22:35,
94.54,2026-08-06T11:22:36,
95.6,2026-08-06T11:22:36,
96.65,2026-08-06T11:22:37,RECOVERED - fresh frame after being stale
97.7,2026-08-06T11:22:39,
98.75,2026-08-06T11:22:40,
99.8,2026-08-06T11:22:41,
100.85,2026-08-06T11:22:42,
101.9,2026-08-06T11:22:43,
102.95,2026-08-06T11:22:44,
104.03,2026-08-06T11:22:45,
105.1,2026-08-06T11:22:46,
106.15,2026-08-06T11:22:47,
107.2,2026-08-06T11:22:48,
108.26,2026-08-06T11:22:49,
109.63,2026-08-06T11:22:50,
110.69,2026-08-06T11:22:52,
111.76,2026-08-06T11:22:53,
112.86,2026-08-06T11:22:54,
113.98,2026-08-06T11:22:55,
115.05,2026-08-06T11:22:56,
