elapsed_s,cpu_temp_c,cpu_percent,throttled,target_fps,processing_scale,stress_active
0.0,43.5,97.4,False,15.0,1.0,False
2.07,42.2,93.7,False,15.0,1.0,False
4.12,40.4,88.7,False,15.0,1.0,False
6.17,41.6,90.8,False,15.0,1.0,False
8.23,46.3,93.8,False,15.0,1.0,False
10.29,44.2,95.4,False,15.0,1.0,False
12.34,44.2,93.6,False,15.0,1.0,False
14.39,44.4,90.3,False,15.0,1.0,False
16.45,46.1,91.9,False,15.0,1.0,False
18.5,45.7,94.6,False,15.0,1.0,False
20.56,43.0,90.7,False,15.0,1.0,True
22.65,42.0,100.0,False,15.0,1.0,True
24.76,42.8,100.0,False,15.0,1.0,True
26.83,42.7,100.0,False,15.0,1.0,True
28.9,42.7,100.0,False,15.0,1.0,True
30.99,45.2,100.0,False,15.0,1.0,True
33.09,41.3,100.0,False,15.0,1.0,True
35.16,43.2,100.0,False,15.0,1.0,True
37.22,43.3,100.0,False,15.0,1.0,True
39.31,42.4,100.0,False,15.0,1.0,True
41.42,42.6,100.0,False,15.0,1.0,True
43.5,42.3,100.0,False,15.0,1.0,True
45.57,44.5,100.0,False,15.0,1.0,True
47.64,44.9,100.0,False,15.0,1.0,True
49.71,44.7,100.0,False,15.0,1.0,True
51.81,43.0,100.0,False,15.0,1.0,True
53.89,43.5,100.0,False,15.0,1.0,True
55.98,42.1,100.0,False,15.0,1.0,True
58.06,39.1,100.0,False,15.0,1.0,True
60.14,41.3,100.0,False,15.0,1.0,True
62.2,41.1,100.0,False,15.0,1.0,True
64.28,42.4,100.0,False,15.0,1.0,True
66.37,42.6,100.0,False,15.0,1.0,True
68.43,41.6,100.0,False,15.0,1.0,True
70.49,44.4,100.0,False,15.0,1.0,True
72.57,41.1,100.0,False,15.0,1.0,True
74.63,41.1,100.0,False,15.0,1.0,True
76.71,40.2,100.0,False,15.0,1.0,True
78.79,42.1,100.0,False,15.0,1.0,True
80.88,42.0,100.0,False,15.0,1.0,True
82.99,43.8,100.0,False,15.0,1.0,True
85.06,40.3,100.0,False,15.0,1.0,True
87.16,44.9,100.0,False,15.0,1.0,True
89.23,42.3,100.0,False,15.0,1.0,True
