elapsed_s,cpu_temp_c,cpu_percent,throttled,target_fps,processing_scale,stress_active
0.0,65.9,29.2,True,5.0,0.5,False
2.06,63.3,13.5,False,15.0,1.0,False
4.13,68.4,92.9,False,15.0,1.0,False
6.19,75.2,94.7,False,15.0,1.0,False
8.25,78.1,90.6,True,5.0,0.5,False
10.31,66.0,8.9,True,5.0,0.5,False
12.35,68.9,95.5,False,15.0,1.0,False
14.41,70.6,94.1,False,15.0,1.0,False
16.46,74.2,8.9,True,5.0,0.5,False
18.5,62.5,95.5,False,15.0,1.0,False
20.55,74.5,100.0,True,5.0,0.5,True
22.68,75.5,100.0,True,5.0,0.5,True
24.76,73.4,100.0,True,5.0,0.5,True
26.8,70.1,100.0,True,5.0,0.5,True
28.85,69.7,100.0,True,5.0,0.5,True
30.91,76.9,100.0,True,5.0,0.5,True
32.98,74.6,100.0,True,5.0,0.5,True
35.02,74.9,100.0,True,5.0,0.5,True
37.08,70.4,100.0,True,5.0,0.5,True
39.13,73.9,99.7,True,5.0,0.5,True
41.18,76.0,100.0,True,5.0,0.5,True
43.24,73.7,100.0,True,5.0,0.5,True
45.31,75.0,100.0,True,5.0,0.5,True
47.4,73.3,100.0,True,5.0,0.5,True
49.46,76.6,100.0,True,5.0,0.5,True
51.58,70.6,100.0,True,5.0,0.5,True
53.64,76.3,100.0,True,5.0,0.5,True
55.71,77.1,100.0,True,5.0,0.5,True
57.76,74.3,100.0,True,5.0,0.5,True
59.81,76.2,100.0,True,5.0,0.5,True
61.88,75.6,100.0,True,5.0,0.5,True
63.94,70.6,100.0,True,5.0,0.5,True
66.0,75.8,100.0,True,5.0,0.5,True
68.07,75.5,100.0,True,5.0,0.5,True
70.14,69.0,100.0,True,5.0,0.5,True
72.21,73.3,100.0,True,5.0,0.5,True
74.28,73.7,100.0,True,5.0,0.5,True
76.34,77.2,99.9,True,5.0,0.5,True
78.42,70.6,100.0,True,5.0,0.5,True
80.47,75.8,100.0,True,5.0,0.5,True
82.55,74.0,100.0,True,5.0,0.5,True
84.61,75.8,100.0,True,5.0,0.5,True
86.69,73.3,100.0,True,5.0,0.5,True
88.75,74.2,100.0,True,5.0,0.5,True
90.8,78.7,100.0,True,5.0,0.5,True
92.87,77.9,100.0,True,5.0,0.5,True
94.96,75.8,100.0,True,5.0,0.5,True
97.02,75.5,100.0,True,5.0,0.5,True
99.1,70.0,100.0,True,5.0,0.5,True
101.17,75.5,100.0,True,5.0,0.5,True
103.26,75.0,100.0,True,5.0,0.5,True
105.33,75.3,100.0,True,5.0,0.5,True
107.39,73.9,100.0,True,5.0,0.5,True
109.46,73.9,100.0,True,5.0,0.5,True
111.53,75.5,100.0,True,5.0,0.5,True
113.6,69.7,100.0,True,5.0,0.5,True
115.65,70.2,100.0,True,5.0,0.5,True
117.71,73.9,100.0,True,5.0,0.5,True
119.76,75.3,100.0,True,5.0,0.5,True
121.83,76.3,100.0,True,5.0,0.5,True
123.89,76.3,100.0,True,5.0,0.5,True
125.95,76.0,100.0,True,5.0,0.5,True
128.02,74.0,100.0,True,5.0,0.5,True
130.06,76.9,100.0,True,5.0,0.5,True
132.13,73.6,100.0,True,5.0,0.5,True
134.18,78.8,100.0,True,5.0,0.5,True
136.28,75.6,100.0,True,5.0,0.5,True
138.37,76.3,100.0,True,5.0,0.5,True
140.42,76.9,100.0,True,5.0,0.5,True
142.49,70.0,100.0,True,5.0,0.5,True
144.54,73.4,100.0,True,5.0,0.5,True
146.61,74.0,100.0,True,5.0,0.5,True
148.68,78.7,100.0,True,5.0,0.5,True
150.75,74.7,100.0,True,5.0,0.5,True
152.8,77.8,100.0,True,5.0,0.5,True
154.86,77.2,100.0,True,5.0,0.5,True
156.94,76.5,100.0,True,5.0,0.5,True
159.01,75.8,100.0,True,5.0,0.5,True
161.1,76.5,100.0,True,5.0,0.5,True
163.17,69.2,100.0,True,5.0,0.5,True
165.23,76.9,100.0,True,5.0,0.5,True
167.29,68.5,100.0,True,5.0,0.5,True
169.35,79.7,100.0,True,5.0,0.5,True
171.43,75.3,100.0,True,5.0,0.5,True
173.55,74.6,100.0,True,5.0,0.5,True
175.62,75.8,100.0,True,5.0,0.5,True
177.71,74.0,100.0,True,5.0,0.5,True
179.77,77.4,100.0,True,5.0,0.5,True
181.84,79.5,100.0,True,5.0,0.5,True
183.9,73.4,100.0,True,5.0,0.5,True
185.94,75.8,100.0,True,5.0,0.5,True
188.02,75.9,100.0,True,5.0,0.5,True
