timestamp,label,fps,cpu_temp_c,mem_used_mb,persons_detected
2026-07-28 07:47:22,1280x720,0.81,48.2,117.5,0
2026-07-28 07:47:27,1280x720,0.73,43.3,117.5,0
2026-07-28 07:47:32,1280x720,0.83,49.4,117.5,0
2026-07-28 07:47:37,1280x720,0.87,49.5,117.5,1
2026-07-28 07:47:42,1280x720,0.92,50.4,117.5,1
2026-07-28 07:47:47,1280x720,0.96,50.3,117.5,0
2026-07-28 07:47:52,1280x720,0.97,50.4,118.6,0
2026-07-28 07:47:57,1280x720,1.0,50.9,118.6,0
2026-07-28 07:48:02,1280x720,1.01,49.6,118.6,0
2026-07-28 07:48:07,1280x720,1.03,49.0,118.6,0
2026-07-28 07:48:12,1280x720,1.01,51.3,118.6,0
2026-07-28 07:48:17,1280x720,1.02,51.1,118.6,0
2026-07-28 07:48:22,1280x720,1.02,49.4,118.6,0
2026-07-28 07:48:27,1280x720,1.01,48.6,118.6,0
2026-07-28 07:48:32,1280x720,1.01,50.8,120.1,1
2026-07-28 07:48:37,1280x720,1.0,48.8,120.1,1
2026-07-28 07:48:42,1280x720,1.01,49.6,120.1,1
2026-07-28 07:48:47,1280x720,1.01,48.2,120.1,0
2026-07-28 07:48:52,1280x720,1.02,49.9,120.1,0
2026-07-28 07:48:57,1280x720,1.03,50.9,120.1,1
2026-07-28 07:49:02,1280x720,1.04,49.5,120.1,1
2026-07-28 07:49:07,1280x720,1.04,50.3,120.1,0
2026-07-28 07:49:12,1280x720,1.05,50.5,120.1,0
2026-07-28 07:49:17,1280x720,1.05,52.3,120.1,0
2026-07-28 07:49:22,1280x720,1.04,53.2,120.1,0
2026-07-28 07:49:27,1280x720,1.04,51.0,120.1,0
2026-07-28 07:49:32,1280x720,1.04,50.2,120.1,0
2026-07-28 07:49:37,1280x720,1.05,49.9,120.1,1
2026-07-28 07:49:42,1280x720,1.04,52.6,120.1,1
2026-07-28 07:49:47,1280x720,1.04,49.6,120.1,0
2026-07-28 07:49:52,1280x720,1.05,51.7,120.1,0
2026-07-28 07:49:57,1280x720,1.05,50.5,120.1,1
2026-07-28 07:50:02,1280x720,1.04,51.7,120.1,1
2026-07-28 07:50:07,1280x720,1.05,50.7,120.1,0
2026-07-28 07:50:12,1280x720,1.05,49.8,120.1,0
2026-07-28 07:50:17,1280x720,1.06,52.2,120.1,0
2026-07-28 07:50:22,1280x720,1.05,52.0,120.1,0
2026-07-28 07:50:27,1280x720,1.05,50.7,120.1,1
2026-07-28 07:50:32,1280x720,1.05,51.6,120.1,1
2026-07-28 07:50:37,1280x720,1.06,52.2,120.1,1
2026-07-28 07:50:42,1280x720,1.06,51.0,120.1,0
2026-07-28 07:50:47,1280x720,1.06,52.3,120.1,1
2026-07-28 07:50:52,1280x720,1.06,52.6,120.1,1
2026-07-28 07:50:57,1280x720,1.06,50.5,120.1,1
2026-07-28 07:51:02,1280x720,1.06,51.5,120.1,2
2026-07-28 07:51:07,1280x720,1.02,49.4,120.1,2
2026-07-28 07:51:12,1280x720,1.02,48.8,120.1,0
2026-07-28 07:51:17,1280x720,0.95,50.2,120.1,0
2026-07-28 07:51:22,1280x720,0.92,45.5,120.1,0
2026-07-28 07:51:27,1280x720,0.87,45.1,120.1,0
2026-07-28 07:51:32,1280x720,0.89,52.7,120.1,0
2026-07-28 07:51:37,1280x720,0.93,54.1,120.1,0
2026-07-28 07:51:42,1280x720,0.98,49.1,120.1,0
2026-07-28 07:51:47,1280x720,0.97,50.5,120.1,0
2026-07-28 07:51:52,1280x720,0.99,51.0,120.1,0
2026-07-28 07:51:57,1280x720,1.01,53.0,120.1,1
2026-07-28 07:52:02,1280x720,1.03,51.5,120.1,1
2026-07-28 07:52:07,1280x720,1.01,49.0,120.1,0
2026-07-28 07:52:12,1280x720,1.03,51.7,120.1,0
2026-07-28 07:52:17,1280x720,1.04,52.0,120.1,0
